scene_id,n_tracks,agreement_rate,median_speed,median_turn_rate,median_stop_ratio,scene_description
1309,109,0.3303,0.3079,0.7614,0.8448,"Moderate traffic, Slow speed, Stop-And-Go"
1151,222,0.4054,0.0441,0.5727,0.9938,"Dense traffic, Slow speed, Stop-And-Go"
2823,158,0.4494,0.0480,0.5831,0.9730,"Dense traffic, Slow speed, Stop-And-Go"
13262,148,0.4730,0.2831,0.5649,0.8763,"Moderate traffic, Slow speed, Stop-And-Go"
1156,187,0.4759,0.0396,1.2596,0.9873,"Dense traffic, Slow speed, Stop-And-Go"
14511,134,0.4776,0.0451,0.8474,0.9840,"Moderate traffic, Slow speed, Stop-And-Go"
10600,110,0.4909,0.2069,0.4959,0.9069,"Moderate traffic, Slow speed, Stop-And-Go"
8824,131,0.4962,0.1544,0.8613,0.9141,"Moderate traffic, Slow speed, Stop-And-Go"
8500,189,0.4974,0.0323,0.5810,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
15706,94,0.5000,0.0590,0.6633,0.9951,"Moderate traffic, Slow speed, Stop-And-Go"
3328,110,0.5000,0.0217,0.4245,0.9931,"Moderate traffic, Slow speed, Stop-And-Go"
3581,133,0.5038,0.0230,0.2923,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
1533,160,0.5062,0.0284,0.9436,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
12755,188,0.5106,0.0185,0.7007,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
108,64,0.5312,0.0192,1.2098,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
15891,118,0.5424,6.9447,0.2539,0.0597,"Moderate traffic, Fast speed, Free-Flow"
4214,137,0.5693,0.0216,0.6368,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
2567,76,0.5789,0.0185,0.2618,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
15692,231,0.6061,0.0170,0.4818,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
12829,147,0.6122,0.0054,0.4328,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
11274,114,0.6140,0.0063,0.1766,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
9616,148,0.6149,0.0077,0.2350,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
5406,160,0.6312,0.0040,0.3089,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
1384,195,0.6359,0.0130,0.2552,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
5231,70,0.6571,0.0350,0.3863,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
4948,206,0.6602,0.0070,0.3844,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
16125,208,0.6731,0.0083,0.3452,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
12535,190,0.6737,0.0064,0.3403,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
3565,99,0.6768,0.0020,0.0973,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
8069,219,0.6849,0.0056,0.2795,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
15502,191,0.6859,0.0017,0.1590,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
342,92,0.6957,0.0019,0.1992,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
4078,107,0.7009,0.0141,0.2858,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
14398,198,0.7121,0.0046,0.3482,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
4721,148,0.7365,0.0022,0.1665,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
7144,230,0.7391,0.0029,0.1798,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
900,177,0.7401,0.0050,0.4181,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
1174,228,0.7500,0.0053,0.3480,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
1456,100,0.7500,0.0054,0.2934,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
2870,193,0.7668,0.0035,0.2692,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
1855,198,0.7677,0.0031,0.1714,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
14266,90,0.7778,0.0008,0.0498,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
13818,174,0.7874,0.0037,0.2344,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
11454,69,0.8116,0.0000,0.0000,1.0000,"Moderate traffic, Slow speed, Stop-And-Go"
9610,153,0.8170,0.0000,0.0000,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
4243,211,0.8199,0.0000,0.0000,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
5803,191,0.8325,0.0006,0.0883,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
5966,212,0.8349,0.0000,0.0000,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
7143,229,0.8515,0.0000,0.0000,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
11970,178,0.8652,0.0000,0.0000,1.0000,"Dense traffic, Slow speed, Stop-And-Go"
